date,year_month,year,month,manager,regional_office,closed_won_revenue,monthly_pipeline_value,win_rate,avg_days_to_close,revenue_target,target_attainment_ratio,exceeded_target
2017-03-01,2017-03,2017,3,Cara Losch,East,117389.0,117389.0,0.810126582278481,66.48101265822785,80717.78571428571,1.4543139279801143,True
2017-05-01,2017-05,2017,5,Rocco Neubert,East,202926.0,202926.0,0.5597014925373134,53.649253731343286,140038.92857142858,1.4490684988102798,True
2017-06-01,2017-06,2017,6,Dustin Brinkmann,Central,159054.0,159054.0,0.8770491803278688,68.64754098360656,109436.3,1.4533934352678224,True
2017-06-01,2017-06,2017,6,Summer Sewald,West,187845.0,187845.0,0.7431192660550459,73.05504587155963,140339.2857142857,1.3385061712686093,True
2017-02-01,2017-02,2017,2,Celia Rouche,West,0.0,0.0,,,114564.07142857143,0.0,False
2017-04-01,2017-04,2017,4,Dustin Brinkmann,Central,64895.0,64895.0,0.40625,6.708333333333333,159054.0,0.40800608598337673,False
2017-08-01,2017-08,2017,8,Dustin Brinkmann,Central,98364.0,98364.0,0.4866666666666667,64.58,111974.5,0.8784500042420372,False
2017-09-01,2017-09,2017,9,Melvin Marxen,Central,282570.0,282570.0,0.7954545454545454,63.54545454545455,225193.0,1.2547903354011891,True
2017-07-01,2017-07,2017,7,Melvin Marxen,Central,210259.0,210259.0,0.5633802816901409,6.112676056338028,282570.0,0.7440952684290618,False
2017-11-01,2017-11,2017,11,Melvin Marxen,Central,199978.0,199978.0,0.4713375796178344,56.36942675159236,246414.5,0.8115512682898125,False
2017-10-01,2017-10,2017,10,Summer Sewald,West,130930.0,130930.0,0.5444444444444444,6.511111111111111,187845.0,0.6970108333998776,False
2016-11-01,2016-11,2016,11,Summer Sewald,West,0.0,0.0,,,159387.5,0.0,False
2017-01-01,2017-01,2017,1,Celia Rouche,West,0.0,0.0,,,0.0,,True
2017-01-01,2017-01,2017,1,Summer Sewald,West,0.0,0.0,,,106258.33333333333,0.0,False
2017-01-01,2017-01,2017,1,Cara Losch,East,0.0,0.0,,,117389.0,0.0,False
2017-11-01,2017-11,2017,11,Summer Sewald,West,225799.0,225799.0,0.5621301775147929,57.289940828402365,43643.333333333336,5.173734056365997,True
2017-12-01,2017-12,2017,12,Melvin Marxen,Central,255530.0,255530.0,0.7615384615384615,71.99230769230769,230935.66666666666,1.1064986352620572,True
2017-10-01,2017-10,2017,10,Cara Losch,East,78170.0,78170.0,0.5166666666666667,5.933333333333334,58694.5,1.3318113281482933,True
2016-12-01,2016-12,2016,12,Rocco Neubert,East,0.0,0.0,,,202926.0,0.0,False
2017-01-01,2017-01,2017,1,Rocco Neubert,East,0.0,0.0,,,101463.0,0.0,False
2017-05-01,2017-05,2017,5,Celia Rouche,West,91463.0,91463.0,0.4519230769230769,63.03846153846154,0.0,,True
2017-09-01,2017-09,2017,9,Summer Sewald,West,255341.0,255341.0,0.8205128205128205,67.7008547008547,75266.33333333333,3.3924995239128606,True
2017-09-01,2017-09,2017,9,Dustin Brinkmann,Central,103994.0,103994.0,0.7789473684210526,59.93684210526316,107437.66666666667,0.9679473058796884,False
2017-12-01,2017-12,2017,12,Dustin Brinkmann,Central,142171.0,142171.0,0.8598130841121495,66.95327102803738,89084.33333333333,1.5959147324819554,True
2017-10-01,2017-10,2017,10,Celia Rouche,West,114566.0,114566.0,0.43956043956043955,5.736263736263736,30487.666666666668,3.7577818352776533,True
2016-12-01,2016-12,2016,12,Summer Sewald,West,0.0,0.0,,,160380.0,0.0,False
2016-12-01,2016-12,2016,12,Celia Rouche,West,0.0,0.0,,,68676.33333333333,0.0,False
2017-05-01,2017-05,2017,5,Dustin Brinkmann,Central,142038.0,142038.0,0.569620253164557,57.537974683544306,114843.0,1.236801546459079,True
2017-06-01,2017-06,2017,6,Celia Rouche,West,294528.0,294528.0,0.8640776699029126,62.86407766990291,68676.33333333333,4.288638978007951,True
2017-02-01,2017-02,2017,2,Rocco Neubert,East,0.0,0.0,,,67642.0,0.0,False
2017-04-01,2017-04,2017,4,Summer Sewald,West,168481.0,168481.0,0.5317460317460317,5.468253968253968,160380.0,1.050511285696471,True
2017-09-01,2017-09,2017,9,Celia Rouche,West,184279.0,184279.0,0.8095238095238095,67.96428571428571,136364.66666666666,1.3513691229888487,True
2017-07-01,2017-07,2017,7,Celia Rouche,West,85247.0,85247.0,0.4166666666666667,6.427083333333333,159602.33333333334,0.5341212638912964,False
2017-07-01,2017-07,2017,7,Cara Losch,East,72343.0,72343.0,0.5230769230769231,6.676923076923077,65186.333333333336,1.1097878389642,True
2017-11-01,2017-11,2017,11,Celia Rouche,West,148642.0,148642.0,0.5643564356435643,62.613861386138616,188018.0,0.7905732429873735,False
2017-12-01,2017-12,2017,12,Summer Sewald,West,202920.0,202920.0,0.8333333333333334,60.357142857142854,141274.0,1.4363577162110508,True
2017-10-01,2017-10,2017,10,Melvin Marxen,Central,215280.0,215280.0,0.4666666666666667,6.02,221922.33333333334,0.970069108261599,False
2017-06-01,2017-06,2017,6,Melvin Marxen,Central,250214.0,250214.0,0.8650793650793651,64.8015873015873,223596.0,1.1190450634179503,True
2017-02-01,2017-02,2017,2,Cara Losch,East,0.0,0.0,,,50171.0,0.0,False
2017-04-01,2017-04,2017,4,Rocco Neubert,East,140541.0,140541.0,0.4803921568627451,5.911764705882353,0.0,,True
2017-04-01,2017-04,2017,4,Celia Rouche,West,124186.0,124186.0,0.5058823529411764,6.435294117647059,139389.33333333334,0.8909290046105871,False
2017-08-01,2017-08,2017,8,Rocco Neubert,East,200915.0,200915.0,0.6,58.952,46847.0,4.2887484790915105,True
2017-08-01,2017-08,2017,8,Melvin Marxen,Central,274925.0,274925.0,0.5885714285714285,64.41142857142857,240341.33333333334,1.1438939619208237,True
2017-08-01,2017-08,2017,8,Summer Sewald,West,153529.0,153529.0,0.5586206896551724,60.33793103448276,123800.33333333333,1.2401339791761465,True
2017-09-01,2017-09,2017,9,Rocco Neubert,East,251936.0,251936.0,0.7196969696969697,59.09090909090909,113818.66666666667,2.213485778548334,True
2017-12-01,2017-12,2017,12,Cara Losch,East,118341.0,118341.0,0.7105263157894737,67.88157894736842,50171.0,2.3587530645193437,True
2016-11-01,2016-11,2016,11,Celia Rouche,West,0.0,0.0,,,119358.33333333333,0.0,False
2016-11-01,2016-11,2016,11,Cara Losch,East,0.0,0.0,,,63561.333333333336,0.0,False
2017-05-01,2017-05,2017,5,Summer Sewald,West,245464.0,245464.0,0.5723270440251572,59.465408805031444,174976.66666666666,1.4028384737012556,True
2017-05-01,2017-05,2017,5,Cara Losch,East,150082.0,150082.0,0.5978260869565217,61.80434782608695,39447.0,3.8046492762440742,True
2017-04-01,2017-04,2017,4,Cara Losch,East,76449.0,76449.0,0.46296296296296297,6.555555555555555,89474.33333333333,0.8544238012390891,False
2017-08-01,2017-08,2017,8,Cara Losch,East,101333.0,101333.0,0.5925925925925926,58.32098765432099,75510.33333333333,1.3419752704927803,True
2017-09-01,2017-09,2017,9,Cara Losch,East,157144.0,157144.0,0.8666666666666667,60.10666666666667,109288.0,1.437888880755435,True
2017-07-01,2017-07,2017,7,Summer Sewald,West,109897.0,109897.0,0.42452830188679247,6.235849056603773,200637.66666666666,0.5477386266786064,False
2017-07-01,2017-07,2017,7,Dustin Brinkmann,Central,83090.0,83090.0,0.5315315315315315,6.684684684684685,129401.0,0.6421125029945672,False
2017-03-01,2017-03,2017,3,Melvin Marxen,Central,222054.0,222054.0,0.8,71.0,246806.33333333334,0.8997094888164674,False
2017-03-01,2017-03,2017,3,Celia Rouche,West,172989.0,172989.0,0.8571428571428571,70.4065934065934,90942.66666666667,1.902176462826396,True
2016-11-01,2016-11,2016,11,Rocco Neubert,East,0.0,0.0,,,197797.33333333334,0.0,False
2017-05-01,2017-05,2017,5,Melvin Marxen,Central,193740.0,193740.0,0.5063291139240507,65.63924050632912,249064.33333333334,0.7778713130342495,False
2017-06-01,2017-06,2017,6,Rocco Neubert,East,302664.0,302664.0,0.808695652173913,63.51304347826087,150950.33333333334,2.0050568509288924,True
2017-02-01,2017-02,2017,2,Summer Sewald,West,0.0,0.0,,,169630.0,0.0,False
2017-04-01,2017-04,2017,4,Melvin Marxen,Central,147380.0,147380.0,0.5040650406504065,6.203252032520325,230239.66666666666,0.6401155896971128,False
2017-08-01,2017-08,2017,8,Celia Rouche,West,220993.0,220993.0,0.6055045871559633,57.48623853211009,99058.33333333333,2.230937999495247,True
2017-11-01,2017-11,2017,11,Cara Losch,East,114637.0,114637.0,0.5360824742268041,55.91752577319588,111642.0,1.0268268214471257,True
2017-12-01,2017-12,2017,12,Rocco Neubert,East,245607.0,245607.0,0.6929824561403509,70.75438596491227,184866.66666666666,1.328562928236567,True
2017-12-01,2017-12,2017,12,Celia Rouche,West,167004.0,167004.0,0.8367346938775511,63.54081632653061,131327.33333333334,1.2716621571543876,True
2017-03-01,2017-03,2017,3,Dustin Brinkmann,Central,125934.0,125934.0,0.7863247863247863,67.58974358974359,122433.0,1.028595231677734,True
2017-03-01,2017-03,2017,3,Summer Sewald,West,284544.0,284544.0,0.8428571428571429,64.76428571428572,118453.66666666667,2.4021544288765506,True
2017-03-01,2017-03,2017,3,Rocco Neubert,East,211762.0,211762.0,0.8315789473684211,58.26315789473684,182757.0,1.15870801118425,True
2016-12-01,2016-12,2016,12,Cara Losch,East,0.0,0.0,,,124371.33333333333,0.0,False
2017-06-01,2017-06,2017,6,Cara Losch,East,144161.0,144161.0,0.7878787878787878,70.27272727272727,90593.66666666667,1.5912922536895515,True
2017-07-01,2017-07,2017,7,Rocco Neubert,East,136096.0,136096.0,0.4672897196261682,6.588785046728972,253344.33333333334,0.5371977269408038,False
2017-11-01,2017-11,2017,11,Dustin Brinkmann,Central,95702.0,95702.0,0.5271317829457365,67.01550387596899,117020.66666666667,0.8178213534931151,False
2017-11-01,2017-11,2017,11,Rocco Neubert,East,154185.0,154185.0,0.5217391304347826,51.84347826086957,197821.66666666666,0.779414118777013,False
2017-10-01,2017-10,2017,10,Rocco Neubert,East,113913.0,113913.0,0.4864864864864865,6.621621621621622,167347.66666666666,0.6806966733925182,False
2017-10-01,2017-10,2017,10,Dustin Brinkmann,Central,79121.0,79121.0,0.5247524752475248,6.732673267326732,101575.33333333333,0.7789391125141931,False
